gpsimgdirection,gpspitch,gpsroll,datetimeoriginal,gpslatitude,gpslongitude,gps_sec_s_,file_name,x_m_,y_m_,z_m_,x,y,z,URL
"270.80218949116426","-1.92266808704274","-1.06096290747826","295642.68769","6.891060104832633","46.98796987602558",295643,20200408_105231_001364,"2558344.55100000000000","1204246.74900000010000","542.41800000000001","2558344","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001364.jpg
"271.01916780706830","-1.85438933724415","-1.47700811256345","295643.20261","6.891125789912319","46.98797015449259",295643,20200408_105231_001365,"2558349.54800000000000","1204246.74500000010000","542.36800000000005","2558349","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001365.jpg
"270.84943243003988","-2.01668779204209","-1.51419612214249","295643.71763","6.89119140825717","46.98797053155116",295644,20200408_105231_001366,"2558354.54000000000000","1204246.75200000010000","542.30899999999997","2558354","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001366.jpg
"111.01174042988231","-3.47057542588923","1.67275126576448","296258.02535","6.891317866758545","46.98802207731269",296258,20200408_105231_002468,"2558364.20000000020000","1204252.41500000000000","542.27900000000000","2558364","1204252","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002468.jpg
"270.54432681414664","-1.91222671612245","-1.18871742094828","295644.75760","6.891322481512579","46.987971842484",295645,20200408_105231_001368,"2558364.51200000010000","1204246.82800000000000","542.22900000000004","2558364","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001368.jpg
"270.74797800039414","-1.68788265163555","-1.33869310444913","295644.23260","6.891257103081694","46.98797114281676",295644,20200408_105231_001367,"2558359.53800000020000","1204246.78499999990000","542.26900000000001","2558359","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001367.jpg
"235.54077256796523","-1.18779608970216","-1.01479932993524","295627.53782","6.889533333415971","46.98747017892943",295628,20200408_105231_001338,"2558228.01700000000000","1204192.01200000010000","544.74599999999998","2558228","1204192","544",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001338.jpg
"235.60580245906141","-1.19794423344002","-1.11511065563025","295628.05301","6.889587951468803","46.987497193250036",295628,20200408_105231_001339,"2558232.19300000000000","1204194.98600000000000","544.62599999999998","2558232","1204194","544",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001339.jpg
"55.12466505358020","-3.73184667957195","-1.01437407095608","296292.34980","6.889541514643088","46.98750689217778",296292,20200408_105231_002514,"2558228.66800000010000","1204196.08899999990000","544.64599999999996","2558228","1204196","544",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002514.jpg
"54.73970975525282","-3.05242443808905","-1.01513939501621","296291.69980","6.889596529158597","46.987534987837115",296292,20200408_105231_002513,"2558232.87500000000000","1204199.18300000000000","544.54600000000005","2558232","1204199","544",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002513.jpg
